Arquivo,Metodo,Amostra,Ocorrencias,Tempo_ms
Dracula-165307.txt,SerialCPU,1,8104,8
Dracula-165307.txt,ParallelCPU,1,8104,10
Dracula-165307.txt,ParallelGPU,1,8104,2152
Dracula-165307.txt,SerialCPU,2,8104,2
Dracula-165307.txt,ParallelCPU,2,8104,2
Dracula-165307.txt,ParallelGPU,2,8104,67
Dracula-165307.txt,SerialCPU,3,8104,1
Dracula-165307.txt,ParallelCPU,3,8104,2
Dracula-165307.txt,ParallelGPU,3,8104,87
MobyDick-217452.txt,SerialCPU,1,14727,2
MobyDick-217452.txt,ParallelCPU,1,14727,1
MobyDick-217452.txt,ParallelGPU,1,14727,80
MobyDick-217452.txt,SerialCPU,2,14727,1
MobyDick-217452.txt,ParallelCPU,2,14727,2
MobyDick-217452.txt,ParallelGPU,2,14727,80
MobyDick-217452.txt,SerialCPU,3,14727,2
MobyDick-217452.txt,ParallelCPU,3,14727,2
MobyDick-217452.txt,ParallelGPU,3,14727,84
DonQuixote-388208.txt,SerialCPU,1,188,2
DonQuixote-388208.txt,ParallelCPU,1,188,1
DonQuixote-388208.txt,ParallelGPU,1,188,64
DonQuixote-388208.txt,SerialCPU,2,188,2
DonQuixote-388208.txt,ParallelCPU,2,188,2
DonQuixote-388208.txt,ParallelGPU,2,188,76
DonQuixote-388208.txt,SerialCPU,3,188,3
DonQuixote-388208.txt,ParallelCPU,3,188,2
DonQuixote-388208.txt,ParallelGPU,3,188,84
